:	Dot		-	-	-	Group	Group	Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	NOM	AREA EXCAVADA	ue	sencer	Morfologia	GrupM+D	període	diam. Boca	diam max	Dm. Base	Alçada total	Coll	dist Coll-Boca	dist. Max-Boca	ampl Vora	brunyit (A)	engalba (B)	pintat (C)	linea horiz vermella (D)	banda negre (E)	banda vermella (F)	banda blanca (G)	Motius geometrics (H)	
#FF7570B3	Dot	CER86	antic campament	42	0	3	3A	2	22.9							1.1	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER54	parking public	20	0	3	3O	1	25.5							1.3	0	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER75	esplanada	33bis	0	3	3A	2	22.7							0.9	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER51	parking public	19	0	3	3A	2	23.7				0	0	0	0.98	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER50	parking public	19	0	3	3A	2	22.7				0	0	0	1.3	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER6	edifici rectorat	3	0	3	3CD	3	21.4						0	1.3	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER55	parking public	20	1	3	3O	1	26.4	26.4	9.1	15.1	0	0	0	0.89	0	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER84	antic campament	42	0	3	3A	2	22.2							1.01	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER85	antic campament	42	0	3	3A	2	23.1							0.97	1	0	0	0	0	0	0	0	
#FFD95F02	Dot	CER79	antic campament	40bis	0	3	3O	1	26.7							1.4	0	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER56	parking public	20	1	3	3O	1	24.8	24.8	8.3	14.7	0	0	0	1.1	0	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER24	edifici rectorat	5	0	3	3A	2	22.7				0	0	0	1.3	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER27	edifici rectorat	10	1	3	3O	1	24.8	24.8	8.3	12.3	0	0	0	1.05	0	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER4	edifici rectorat	6	1	3	3CD	3	25.9	25.9	8.9	12.13	0	0	0	1.5	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER5	edifici rectorat	6	0	3	3CD	3	23.1						0	1.2	0	0	1	1	0	0	0	0	
#FF7570B3	Dot	CER16	edifici rectorat	4	0	3	3A	2	21							1.4	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER17	edifici rectorat	4	0	3	3A	2	20							0.9	1	0	0	0	0	0	0	0	
#FF7570B3	Dot	CER30	parking public	13	1	3	3B	4	23.2	23.2	10	11.6	0	0	0	1.6	0	1	0	0	0	0	0	0	
#FFE7298A	Dot	CER31	parking public	13	1	4	4O	1-4	22	55.6	14.8	52.3	22	5	6.2	0.2	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER3	edifici rectorat	2	1	4	4O	1-4	21.8	55.8	15.6	51.7	21.8	4	6.2	0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER97	voral carretera		0	4	4O	1-4	22.1							1.1	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER2	edifici rectorat	2	1	4	4O	1-4	21.3	55	15.6	51.5	21.3	5	6.8	0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER29	edifici rectorat	10	0	4	4O	1-4	22.1							0.98	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER33	parking public	14	0	4	4O	1-4	22.4	55.3			22.4	4	6.1	0.1	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER40	parking public	14	1	4	4O	1-4	21.7	56.4	12.6	52.1	21.7	5	6.7	0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER32	parking public	14	0	4	4O	1-4	22							0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER42	parking public	14	0	4	4O	1-4		55.9			22.3			0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER43	parking public	14	0	4	4O	1-4	21.3							0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER41	parking public	14	1	4	4O	1-4	21.8	55.9	13.9	52.8	21.8	4	6.4	0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER34	parking public	14	0	4	4O	1-4	21.8							0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER35	parking public	14	0	4	4O	1-4	21.1							0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER36	parking public	14	0	4	4O	1-4	21							0.2	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER37	parking public	14	0	4	4O	1-4	21.8							0	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER99	voral carretera		0	4	4O	1-4	22.1							1.1	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER98	voral carretera		0	4	4O	1-4	22.1							1.3	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER100	voral carretera		0	4	4O	1-4	22.1							1.2	0	0	0	0	0	0	0	0	
#FFE7298A	Dot	CER38	parking public	14	0	4	4O	1-4	22.3							0	0	0	0	0	0	0	0	0	
#FF66A61E	Dot	CER88	antic campament	43	1	5	5O	4	14.33	20.47	9.5	61.02	9.52	14.9	31.7	0	0	0	0	0	0	0	0	0	
#FF66A61E	Dot	CER89	antic campament	44	1	5	5O	4	14.25	21.02	10.1	62.05	8.54	15.36	32.03	0	0	0	0	0	0	0	0	0	
#FF66A61E	Dot	CER90	antic campament	45	1	5	5O	4	13.98	21.4	9.6	59.99	10.32	14.33	31	0	0	0	0	0	0	0	0	0	
#FF66A61E	Dot	CER91	antic campament	46	1	5	5O	4	14.1	19.87	9.8	60.33	9.65	15.01	31.25	0	0	0	0	0	0	0	0	0	
#FF66A61E	Dot	CER92	antic campament	47	1	5	5O	4	14.39	20.33	10.2	61.01	8.93	14.28	30.98	0	0	0	0	0	0	0	0	0	
#FFE6AB02	Dot	CER101	edifici rectorat	2	1	6	6CEFG	4	8.9	19.9	9.7	47.8	8.9	11.6	15	2.6	0	0	1	0	1	1	1	0	
#FFE6AB02	Dot	CER103	parking public	14	1	6	6CEFG	4	8.8	19.9	10.1	47.8	8.8	11.9	14.9	2	0	0	1	0	1	1	1	0	
#FFE6AB02	Dot	CER102	edifici rectorat	2	1	6	6CEFG	4	8.6	20.1	9.6	48.1	8.6	12.1	14.8	2.2	0	0	1	0	1	1	1	0	
#FFE6AB02	Dot	CER39	parking public	14	0	6	6CEFG	4		19.9			8.9			2.2	0	0	1	0	1	1	0	0	
#FFE6AB02	Dot	CER104	parking public	14	0	6	6CEFG	4	9.1							2.2	0	0	1	0	1	0	0	0	
#FFE6AB02	Dot	CER105	parking public	14	0	6	6CEFG	4	9.1	19.9			9.1	12	15	1.9	0	0	1	0	1	1	1	0	
<colwidths 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 149 152 114 112 138 164 >
